Video Link,Primary Tag,Secondary Tag,Rating,Description
DR4ytzPOAlo,irrelevant,Gaming & Entertainment,,Ad showing an interview of a musician
r4q8RrVQEcE,irrelevant,Gaming & Entertainment,,Ad showing an episode of a show where a group of people are at a resort and singing
Ucog1ghGMUM,irrelevant,Machinery,,Steel rolls for industrial use
a3jqI73JMLs,irrelevant,Music & Performance,,A small music snippet. Shows a seaside
VhHE1Cog4MM,inappropriate,Sexual content,Moderate,Contains a women dancing sensually
X2pnuCvs7c8,inappropriate,Intimacy,Mild,A trailer for a romantically charged movie
MpszGxkLGEY,inappropriate,"Drinking, drugs, smoking",Moderate,Ad of a punjabi music video. Shows the group smoking a hookah and drinking alcohol
VbNWceCA31Q,inaudible,Different Language,,Ad contains music which is in a different language
Kc93ILm-_CM,child directed,Poems/Songs/Nursery Rhymes/Music,,Ad about a nursery rhyme for bunny ears
BBv-yWjHehY,irrelevant,Tech & Gadgets,,Ad for a cellular provider's mobile plans
cAMHx-m9oh8,inappropriate,Intimacy,Mild,intimate ad for a song with suggestive content
c7kUBqwvuQg,irrelevant,Software,,Linkedin management application showing the features
zlVtzB4HN28,irrelevant,Food and Cooking,,Tea commercial showing the quality of their product and people using it
HDrqtgQVTgg,inappropriate,Scariness,Mild,ad showing characters comming out of an ogre's stomach. Mildly unsettling
CrM0k0bJ73Q,inappropriate,Intimacy,Mild,ad showing a punjabi music video. Title also references alcohol
stZF4lcAAjU,irrelevant,Tech & Gadgets,,Ad for a cellular provider's mobile plans
fOdo1GkzZAk,child directed,Educational Content,,ad about a Math and logic based visual game.  Contained no monetary information
iU2rMRZcn1U,inappropriate,Intimacy,Mild,song contains themes of intimate romance
z2su3BKlbj4,inappropriate,Intimacy,Moderate,Title is called lip kiss. Shows suggestive contet
8u_jzS1APjs,inappropriate,Display of weapons,Moderate,Ad shows a punjabi music where a group of men are holding large rifles in a provocative manner
Hgge3iTiJfY,inappropriate,Intimacy,Mild,Breakup type song. Does contain references to death etc in the lyrics
JUo8SAJXS_I,inappropriate,Intimacy,Mild,song contains themes of intimate romance
https://www.youtube.com/watch?v=bQES_F6c7c8,child directed,Educational Content,,math and story driven ad game. shows an animation of two catoons interacting and playing together
https://www.youtube.com/watch?v=DwNatxJHBGo,irrelevant,Health and Wellness,,ad about the toothpaste sensodyne
https://www.youtube.com/watch?v=W-Ardr2Oeu8,excluded,,,private
https://www.youtube.com/watch?v=nOxZiav_pv8,child directed,Educational Content,,math and story driven ad game. shows an animation of two catoons interacting and playing together
https://www.youtube.com/watch?v=VMulqQDWDbI,irrelevant,Home and Lifestyle,,ad about a fancy bag/suitcase for storing jewelery
https://www.youtube.com/watch?v=9SJMjAqe6J4,irrelevant,Home and Lifestyle,,ad about paint and how the product is easy to use
https://www.youtube.com/watch?v=Kp44T_rGZ98,irrelevant,Home and Lifestyle,,"ad about paint platform for easy painting of the house. while it uses children, it does not directly target children]"
https://www.youtube.com/watch?v=x7ZA5_lD8mI,child directed,Non-violent video games,,ad about a game where you drive cars
https://www.youtube.com/watch?v=9KzmHSOlvng,irrelevant,Education & Learning,,ad about announcing that admissions have been opened for a university
https://www.youtube.com/watch?v=34u1sOLrgVo,child directed,Educational Content,,math and story driven ad game. shows an animation of two catoons interacting and playing together
https://www.youtube.com/watch?v=T5PSSGXascc,irrelevant,Home and Lifestyle,,ad about a fancy bag/suitcase for storing jewelery
https://www.youtube.com/watch?v=wMKvGAHJ-t4,irrelevant,Software,,ad transition
https://www.youtube.com/watch?v=Hxy0AEktdaQ,irrelevant,Software,,ad transition
https://www.youtube.com/watch?v=q-NVK13mzcA,inappropriate,Inappropriate Clothing,Mild,ad about a punjabi song. lyrics could be viewed as objectionable with depiction of clothing not viewed as appropriate for children
https://www.youtube.com/watch?v=9CvLVLrzro8,irrelevant,Home and Lifestyle,,ad where animations discuss home paints
https://www.youtube.com/watch?v=1dtzSRlfBDk,child directed,Educational Content,,math and story driven ad game. shows an animation of two catoons interacting and playing together
https://www.youtube.com/watch?v=QScWs4jsMW0,inappropriate,Sexual content,Moderate,ad about a punjabi song. lyrics could be viewed as objectionable with suggestive content seen in the video
https://www.youtube.com/watch?v=3QZ_BkJDBb8,inappropriate,Death,Moderate,music video acting as a homage to the musician sidhu moose wala. a part of the video shows his dead body
https://www.youtube.com/watch?v=lgh45wEHyP4,irrelevant,Education & Learning,,ad about a university utilizing big data for health benefits
https://www.youtube.com/watch?v=VYQPuKvmTHM,inappropriate,Sexual content,Mild,music video shot on a beach. band also playing on a beach. 
https://www.youtube.com/watch?v=A4hniRECcME,inappropriate,Death,Moderate,"while not immediately inapporpriate, does contain depictions of death and mourning not suitable for children"
https://www.youtube.com/watch?v=SaOd0DC-tD8,inappropriate,"Drinking, drugs, smoking",Moderate,shows use of tobacco products and drinking
https://www.youtube.com/watch?v=qmInuV9B1d4,irrelevant,Home and Lifestyle,,bathroom service for fixing plumbing
https://www.youtube.com/watch?v=SNUCYMMDqqI,inappropriate,Intimacy,Mild,music video about a couple enjoying the rain
https://www.youtube.com/watch?v=Y3Ymm8j15K4,irrelevant,Education & Learning,,advertisment about an educational institute showing its features
https://www.youtube.com/watch?v=GChWEIEWdp4,irrelevant,Machinery,,ad about a laser cutting machine
https://www.youtube.com/watch?v=rN5YCNZ9K0M,irrelevant,Software,,digital assistant for a telecom based company
https://www.youtube.com/watch?v=BFK-4Saok6o,inappropriate,"Drinking, drugs, smoking",Moderate,music video. contains scenes of drinking alcohol
https://www.youtube.com/watch?v=YVUwLB2_7Fc,irrelevant,Software,,telecom based ad showing connectivity in hard to reach regions
https://www.youtube.com/watch?v=DoOweIO2Czc,inappropriate,Stereotypes,Mild,shows depictions of gangs and courts
https://www.youtube.com/watch?v=kFn7BtiLaQE,irrelevant,Software,,telecom based ad showing various packages
https://www.youtube.com/watch?v=MgIsckApoHs,irrelevant,Music & Performance,,music video of a family gathering
https://www.youtube.com/watch?v=Oc9vA7cjAA8,irrelevant,Finance & Legal,,ad about a pakistani bank offering cashbacks on service use
https://www.youtube.com/watch?v=vtMyHw9OpTE,irrelevant,Music & Performance,,ad about poetry
https://www.youtube.com/watch?v=ei1H0pX9iZg,irrelevant,Music & Performance,,music by the band the tesky brothers. had a visualizer of a cube spinning
https://www.youtube.com/watch?v=H04TCxLTgvI,irrelevant,Home and Lifestyle,,ad about a dishwashing soap with a woman showing before and after
https://www.youtube.com/watch?v=Lrgk65yn3d8,inappropriate,Intimacy,Mild,punjabi music video. no immediate inappropriate content but shows limited romantic interest
https://www.youtube.com/watch?v=YDJcbH_HgjY,irrelevant,Music & Performance,,music video by a girl band
https://www.youtube.com/watch?v=lQWhcfM6V-k,irrelevant,Tech & Gadgets,,ad about a smartphone.shows a model displaying the phone
https://www.youtube.com/watch?v=oMupLmuPuj8,inappropriate,Intimacy,Mild,"music video in a school setting. however, the members of the video were clearly adults. music does suggest a slightly romantic context but nothing immediately sexual"
https://www.youtube.com/watch?v=y7sMr3EXLwY,irrelevant,Software,,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
https://www.youtube.com/watch?v=S1t90ucM-54,irrelevant,Education & Learning,,a tedx talk based on the advantages of making notes by hand
https://www.youtube.com/watch?v=PoUvDV-wRkk,inappropriate,Sexual content,Moderate,ad of a music video. contains underlying sexual themes not appropriate for children
https://www.youtube.com/watch?v=kQ01TEjln7U,irrelevant,Fashion,,ad showing of a eastern male wardrobe collection
https://www.youtube.com/watch?v=tYKduNKGmUI,inappropriate,Intimacy,Mild,punjabi music video. shows two people interacting in different settings. suggestively intimate
https://www.youtube.com/watch?v=EwcalNeQp6s,excluded,,,religious song honoring an interpretation of jesus
https://www.youtube.com/watch?v=JpNCpykjPqk,irrelevant,Software,,"Domain purchasing software. While not inappropriate, not relevant to children as it explains protection from hackers via encrypted domains"
https://www.youtube.com/watch?v=DoaYEnxbOeE,inappropriate,"Drinking, drugs, smoking",Extreme,rap song. video contains smoking and audio contains use of derogatory language
https://www.youtube.com/watch?v=L93BUjHLgCk,irrelevant,Music & Performance,,sufi music rendition.
https://www.youtube.com/watch?v=Rr2i3L5LgeQ,irrelevant,Music & Performance,,music video of a kpop based group
